count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-7373.40494432841	466.35276620871093	--	-7373.40494432841	6.987581308960804E-4	0.018348791071278993	-0.38566635426111556	0.5306799698882781	0.08890405454767354	0.24355054967762038	-1.3054027916488506	1.193265204990531	6468
-7307.144353251829	490.22187705681637	--	-7307.144353251829	7.02734541888278E-4	0.018260136581118115	-0.38973546696017675	0.5232482926073129	0.08957673625432977	0.24256759906677441	-1.2891984904186296	1.1940524704610054	6436
-7322.754589322493	501.29326191568055	--	-7322.754589322493	7.430576800174092E-4	0.01814295932739443	-0.3628115769700257	0.5176706277407624	0.09464728057099002	0.23978592628538517	-0.7084924545037284	1.1951057256845354	6467
-7321.404055567384	464.70180403279977	--	-7321.404055567384	7.956968796954288E-4	0.018455079482536406	-0.34303917837730147	0.5260658747453213	0.10107381562835245	0.24505215058968483	-0.8198016379407026	1.2653414030553305	6474
-7284.616292759701	416.10527878741664	--	-7284.616292759701	8.324801173733109E-4	0.018427286721806272	-0.3436643820219609	0.5520133255585213	0.10585884452948979	0.2458513748593383	-0.7830458085912388	1.3051152393220433	6525
-7312.929910797251	449.70121787715834	--	-7312.929910797251	8.341614107895926E-4	0.018388026495922603	-0.3434085078651186	0.5408810508040702	0.10634069649780241	0.24431079663141608	-0.5409994823218003	1.3188939923949268	6480
-7245.53361207903	450.2704945101968	--	-7245.53361207903	8.682145872915467E-4	0.01842061177791514	-0.34489901937845513	0.5335751702397232	0.11075332534947295	0.24710601840005794	-0.6623880278191816	1.4266224440150639	6536
-7260.502234962831	470.3674912839278	--	-7260.502234962831	9.267211839915852E-4	0.01852532564902925	-0.34522852886189803	0.5270473434858871	0.11778972326983617	0.24614198379419835	-0.6501044830036489	1.4681892806695807	6486
-7278.840118862638	458.5498230883705	--	-7278.840118862638	9.692975463467311E-4	0.018710709818907347	-0.31935961946820746	0.525116910612409	0.123302389373213	0.24815751741822026	-0.5812610680944046	1.5098704929920408	6500
-7205.49236238225	404.463314810285	--	-7205.49236238225	9.947348733503638E-4	0.01890804773709907	-0.32052959353268135	0.5183465696914871	0.12675930106217484	0.24892835898070628	-0.6020685281791618	1.398192156294948	6507
-7242.803097007273	386.53765710438716	--	-7242.803097007273	0.0010501312497215641	0.01876204588670169	-0.32097826503607224	0.533460325373012	0.13388954717360432	0.24523581128095667	-0.5591804242436	1.4020982167886187	6476
-7219.764471734282	379.6640139089374	--	-7219.764471734282	0.001060372035250883	0.018842667544273106	-0.3222359076685881	0.526151689362527	0.13514076273244446	0.24816651653569202	-0.480191368656639	1.4026675131331345	6475
-7190.534711851664	369.16048303743463	--	-7190.534711851664	0.0011023817756791634	0.01900524182590001	-0.31998351560461047	0.5266639691905145	0.14095192863881686	0.24906977172775557	-0.5534788175359321	1.4179520806590842	6478
-7163.902213799246	359.74337841148485	--	-7163.902213799246	0.0011422803897412513	0.01906491378507538	-0.3206270160326682	0.5171181687527739	0.14546466600239877	0.2478432206570966	-0.5575999686944468	1.4322304983349445	6416
-7144.310333594726	346.8229502811952	--	-7144.310333594726	0.001175779646646822	0.01939720886214025	-0.3222653757888985	0.5328252955495035	0.15025894483481567	0.25020618666535427	-0.5576877158822866	1.5643470746944448	6392
-7179.97344048518	366.1015246450728	--	-7179.97344048518	0.0012270132587298603	0.019742090125555965	-0.3228817971248263	0.5211992889891439	0.15651304041850658	0.2505831118325821	-0.55802755676657	1.4831955325845823	6445
-7131.887104269556	385.6946530781682	--	-7131.887104269556	0.0012580230131006645	0.020038559643511374	-0.3241597106366671	0.6229456907762653	0.16087598291531197	0.25560110205269676	-0.4290352703023843	1.5306548109773417	6470
-7102.691159815478	365.43866250069357	--	-7102.691159815478	0.001330441836153039	0.02029857093871642	-0.3220099975751677	0.6675741636442606	0.17018545341288233	0.2564104348961525	-0.4263912829574627	1.5770371720514178	6445
-7097.8216155421405	343.59527497561663	--	-7097.8216155421405	0.001375075019570123	0.020561650130782157	-0.30452140822544516	0.6367651946331893	0.1760722883432609	0.2615597461517972	-0.43777055908880114	1.785876187184325	6486
-7047.646800539361	319.469313184926	--	-7047.646800539361	0.0014406628174445735	0.02096638655201403	-0.3008268182349659	0.6776937262042603	0.18456994580141964	0.2665424417396929	-0.4232663817913752	1.7906358847716168	6499
-7042.066011541264	324.1526206850049	--	-7042.066011541264	0.0014808312063575957	0.021076368857577448	-0.3008629664817238	0.6649936038167535	0.19040246137019776	0.26995147267163006	-0.42455980399664195	1.81460427084056	6454
-7032.336353332122	286.5388384087156	--	-7032.336353332122	0.001541097393827914	0.021643199758282213	-0.3014818015307266	0.7312614265426189	0.1981223671622633	0.27649926853397366	-0.42367642211963413	1.8288608250577938	6470
-7035.079337152567	313.8488052587582	--	-7035.079337152567	0.0015569281939230685	0.021475911715702355	-0.30090516650607163	0.7398379108788145	0.19980398313682127	0.2752234548231405	-0.4731724593751411	1.6679738506469286	6453
-7031.606634665	270.611497835427	--	-7031.606634665	0.001589867849051034	0.021628869780002016	-0.2939791209930031	0.7047732596255057	0.20402493281814052	0.27821177647114764	-0.47390911104682915	1.6544721734495231	6498
-6973.856911231303	300.68582761751844	--	-6973.856911231303	0.0016330026300546193	0.022151574553468067	-0.2756597345813585	0.7036296777834057	0.21036284109344705	0.28350680237778264	-0.47171115567345173	1.659763764115975	6495
-6967.600161005608	280.7583183720017	--	-6967.600161005608	0.0016872350138387793	0.022345855922284778	-0.2704933769033752	0.7599199690440697	0.21782126729261364	0.28677034705602444	-0.39308768337783223	1.8710681140134315	6483
-6911.468443552361	296.92059485276036	--	-6911.468443552361	0.0017036693749342552	0.022267532223415074	-0.25478448432184825	0.6592066555054968	0.22020713544298	0.28920162647564035	-0.44119566161139084	1.8377436398673652	6505
-6830.44138497075	347.1190508133271	--	-6830.44138497075	0.001778562912339636	0.022860969939603033	-0.22077393353277525	0.6857288114627994	0.2302042645322496	0.2979046919397632	-0.44206527632683235	1.8712344226906619	6449
